Title	Year	IMDB	RT Aud	RT Critics	Description
House of D	2004	7.0	73	9	A sincere but inept coming of age story.
Grandma's Boy	2006	7.1	85	15	A gross-out comedy that's more gross than comedic, Grandma's Boy is lazy and unrewarding.
Underworld: Evolution	2006	6.8	72	15	A visual and aural assault on the senses, this vampire-werewolf sequel makes a lot of noise and features a heavy-handed, overly convoluted story.
John Q	2002	7.0	78	22	Washington's performance rises above the material, but John Q pounds the audience over the head with its message.
Peaceful Warrior	2006	7.3	76	24	Based on a best-selling memoir, Peaceful Warrior loses something in the transition from page to screen. It hits the viewer over the head with philosophical jargon, and ultimately fails to live up to its source material.
Law Abiding Citizen	2009	7.4	75	25	Unnecessarily violent and unflinchingly absurd, Law Abiding Citizen is plagued by subpar acting and a story that defies reason.
Wicker Park	2004	7.0	79	25	Implausible coincidences and an overly convoluted structure make the movie hard to follow or believe.
Love, Rosie	2015	7.2	62	26	Lilly Collins and Sam Claflin are appealing, and they give it their all, but they're undone by Love, Rosie's silly, clich d storyline.
Machine Gun Preacher	2011	6.8	62	28	There's a complex man at the center of Machine Gun Preacher but the movie is too shapeless and emotionally vacant to bring his story to life.
Insurgent	2015	7.0	62	29	Shailene Woodley gives it her all, but Insurgent is still a resounding step back for a franchise struggling to distinguish itself from the dystopian YA crowd.
The House of the Spirits	1994	6.9	73	29	No consensus yet.
The Vow	2012	6.8	63	29	Channing Tatum and Rachel McAdams do their best with what they're given, but The Vow is too shallow and familiar to satisfy the discriminating date-night filmgoer.
The Longest Ride	2015	7.2	74	30	The Longest Ride is less manipulative than the average Nicholas Sparks film, but it's still saccharine and hopelessly contrived -- not that it'll matter to the target audience.
The Magic of Belle Isle	2012	7.0	62	30	No consensus yet.
Underworld	2003	7.0	79	30	Though stylish to look at, Underworld is tedious and derivative.
Chasing Mavericks	2012	7.1	71	31	It's sweet, gentle, and affably modest, but Chasing Mavericks is ultimately pulled under by an unconvincing script and a puzzling lack of energy.
Gangster Squad	2013	6.8	57	31	Though it's stylish and features a talented cast, Gangster Squad suffers from lackluster writing, underdeveloped characters, and an excessive amount of violence.
The Ultimate Gift	2006	7.4	85	32	Though The Ultimate Gift avoids religious speechifying like other Fox Faith films, it's dramatically inert with flat direction.
Music Within	2007	7.4	78	33	Music Within is a well-intentioned but pedestrian production of a story that deserves better treatment.
I Am Sam	2001	7.6	87	34	Not only does the manipulative I Am Sam oversimplify a complex issue, it drowns it in treacle.
The United States of Leland	2004	7.2	82	34	The United States of Leland has its moments, but they're undermined by a muddled plot, unsympathetic characters, and frustratingly uneven performances.
Imaginary Heroes	2005	7.3	81	35	Imaginary Heroes is a muddled, melodramatic and unconvincing drama.
Max	2015	8.3	74	35	Max has good intentions and tries to hearken back to classic family-friendly features, but its disjointed, manipulative plot overwhelms the efforts of its talented human and canine stars.
Memoirs of a Geisha	2005	7.3	83	35	Less nuanced than its source material, Memoirs of a Geisha may be a lavish production, but it still carries the simplistic air of a soap opera.
Odd Thomas	2014	6.9	65	35	Anton Yelchin is the right man for the title role, but Odd Thomas suffers from a jumbled tone.
Radio	2003	6.9	80	35	The story is heavy on syrupy uplift and turns Radio into a saint/cuddly pet.
Super Troopers	2002	7.1	90	35	A more-miss -than-hit affair, Super Troopers will most likely appeal to those looking for something silly.
The Chumscrubber	2005	7.1	76	35	This derivative poke at suburbia falls short of delivering a scathing indictment of upper middle-class disconnect.
The Lake House	2006	6.8	73	35	The plot of The Lake House is a little too convoluted, and the film fails to pull off the sweeping romance it aims for.
Where the Heart Is	2000	6.8	77	35	Poor script and messy plot undermines the decent cast.
August Rush	2007	8.0	82	36	Though featuring a talented cast, August Rush cannot overcome the flimsy direction and schmaltzy plot.
Hector And The Search For Happiness	2014	6.9	61	36	Simon Pegg remains as charming as ever, but Hector and the Search for Happiness drowns his appeal in schmaltz.
If I Stay	2014	6.8	62	36	Although Chlo  Grace Moretz gives it her all and the story adds an intriguing supernatural twist to its melodramatic YA framework, If I Stay is ultimately more manipulative than moving.
Equilibrium	2002	7.6	82	38	Equilibrium is a reheated mishmash of other sci-fi movies.
I Am David	2004	7.4	84	38	No consensus yet.
Man on Fire	2004	7.8	90	38	Man on Fire starts out well, but goes over the top in the violent second half.
End of the Spear	2006	7.0	81	39	Shoddy filmmaking and a lack of character development derail what could be a potentially compelling tale.
Pay It Forward	2000	7.1	77	39	Pay It Forward has strong performances from Spacey, Hunt, and Osment, but the movie itself is too emotionally manipulative and the ending is bad.
Dedication	2007	6.9	64	40	Mandy Moore and Billy Crudup's lack of chemistry in Dedication makes it hard to maintain interest in this confused love story.
The Bucket List	2007	7.4	77	40	Not even the earnest performances of the two leads can rescue The Bucket List from its schmaltzy script.
Men of Honor	2000	7.1	82	41	De Niro and Goodings Jr. manage to turn in performances that make this by-the-numbers inspirational movie watchable.
Bad Boys	1995	6.8	78	42	Bad Boys stars Will Smith and Martin Lawrence have enjoyable chemistry; unfortunately, director Michael Bay too often drowns it out with set pieces and explosions in place of an actual story.
A Love Song for Bobby Long	2004	7.2	80	43	No consensus yet.
Latter Days	2004	7.3	79	43	A melodramatic plot and character stereotypes turn the movie into a sitcom.
Tommy Boy	1995	7.0	90	43	Though it benefits from the comic charms of its two leads, Tommy Boy too often feels like a familiar sketch stretched thin.
National Treasure	2004	6.9	76	44	National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot.
Greenfingers	2001	6.9	67	45	Greenfingers follows the British feel-good formula of underdogs somehow beating the odds, adding nothing new to this already saturated genre.
Pirates of the Caribbean: At Worlds End	2007	7.1	72	45	POTC: AWE provides the thrilling action scenes, but mixes in too many characters with too many incomprehensible plot threads.
Yes Man	2008	6.9	66	45	Jim Carrey's comic convulsions are the only bright spots in this otherwise dim and predictable comedy.
Cashback	2007	7.7	78	46	An unlikable protagonist, messy editing, and gratuitous nudity might make audiences ask for their cash back.
Green Street Hooligans	2005	7.5	87	46	When it comes to the subculture of soccer thugs, Green Street Hooligans lacks sufficient insight, and instead comes off as a Fight Club knock-off.
In the Mouth of Madness	1995	7.2	73	46	No consensus yet.
Life as a House	2001	7.5	89	46	A manipulative tearjerker, Life as a House benefits from fine performances from the cast.
The Basketball Diaries	1995	7.3	76	46	No consensus yet.
We're The Millers	2013	7.1	72	46	We're the Millers squanders its potential with an uneven, lazily assembled story..
Aqua Teen Hunger Force Colon Movie Film for Theaters	2007	6.9	68	47	The non sequitur humor of Aqua Teen Hunger Force will surely appeal to its built-in fanbase, but for the uninitiated, the premise wears thin.
Kids	1995	7.0	77	48	No consensus yet.
Man in the Chair	2007	7.2	68	48	A committed performance from Christopher Plummer can't save Man in the Chair's troubled and cliched script.
Lost and Delirious	2001	7.0	78	50	Lost and Delirious becomes exactly that, as the film sinks into overwrought melodrama and cliched, obvious symbolism.
Boychoir	2015	7.1	63	51	Boychoir rests heavily -- and not always comfortably -- on the shoulders of Dustin Hoffman, whose typically excellent work isn't always quite enough to compensate for an overly predictable drama.
