Title	Year	IMDB	RT Aud	RT Critics	Description
2016: Obama's America	2012	5.1	73	25	No consensus yet.
23 Blast	2014	5.9	71	38	The real life story that inspired 23 Blast is undeniably heartwarming -- but the movie itself is too predictable and amateurish to recommend.
3 Nights In The Desert	2015	5.8	73	40	No consensus yet.
Tyler Perry's A Madea Christmas	2013	4.4	70	18	It boasts a few laughs, but overall, Tyler Perry's A Madea Christmas ranks among Perry's least entertaining or substantive works.
ATL	2006	5.9	86	62	Strong lead performances and catchy musical interludes rescue this coming-of-age story from its formulaic script and uneven direction.
All Relative	2014	5.2	93	10	No consensus yet.
All Stars	2013	4.9	62	57	No consensus yet.
Alvin and the Chipmunks	2007	5.3	65	26	Though cutely rendered, Alvin and the Chipmunks suffers from bland potty humor and a rehashed kids' movie formula.
America: Imagine the World Without Her	2014	5.6	84	8	Passionate but poorly constructed, America preaches to the choir.
America So Beautiful	2001	5.7	75	33	No consensus yet.
American Adobo	2002	5.0	40	30	The characters and situations seem borrowed from overwrought sitcoms.
Annie	2014	5.1	61	27	The new-look Annie hints at a progressive take on a well-worn story, but smothers its likable cast under clich s, cloying cuteness, and a distasteful materialism.
Assault of the Killer Bimbos	1987	4.6	50	16	No consensus yet.
Backstage	2000	5.6	83	30	No consensus yet.
Ball Don't Lie	2008	5.5	75	20	No consensus yet.
Beer for My Horses	2008	4.8	62	0	No consensus yet.
Believe Me	2014	4.8	62	36	No consensus yet.
Belly	1998	5.8	88	12	No consensus yet.
Bert and Arnie's Guide to Friendship	2013	5.0	67	33	No consensus yet.
Better than Chocolate	1999	6.3	78	38	No consensus yet.
Big Mommas: Like Father, Like Son	2011	4.3	58	5	Unnecessary, unfunny, and generally unwelcome, Big Mommas: Like Father, Like Son offers more of the same for fans of Martin Lawrence's perplexingly popular series.
Black Coffee	2014	5.4	58	33	No consensus yet.
Bloodline	2008	5.8	63	36	No consensus yet.
Boys of Abu Ghraib	2014	5.3	58	30	No consensus yet.
Breakin'	1984	5.6	73	42	No consensus yet.
Breakup at a Wedding	2013	4.7	62	60	No consensus yet.
Broken Bridges	2006	6.2	86	4	A cliched attempt at a feel-good drama, Broken Bridges is schmaltzy, predictable, and stiffly acted.
Brothers at War	2009	2.6	66	70	No consensus yet.
Brooklyn Babylon	2001	6.0	71	50	No consensus yet.
Camp Rock	2008	4.9	75	20	No consensus yet.
Careless Love	2012	6.0	79	85	No consensus yet.
Civil Brand	2003	5.2	81	15	No consensus yet.
Cocaine Angel	2007	5.4	53	60	No consensus yet.
Cover	2007	5.3	78	0	No consensus yet.
Addicted To Fame	2012	3.6	67	27	No consensus yet.
Daddy's Little Girls	2007	5.2	81	26	Daddy's Little Girls boasts fine performances and a poignant message, but is ultimately let down by amateurish filmmaking.
Death by China	2012	6.0	72	33	No consensus yet.
WMD: Weapons of Mass Deception	2004	5.3	68	57	No consensus yet.
Desert Dancer	2015	5.4	73	31	No consensus yet.
Diary of a Mad Black Woman	2005	5.6	87	16	Tyler Perry's successful play can't make the move to the screen; this mix of slapstick, melodrama and spirituality lacks a consistent tone.
Dirty Sanchez: The Movie	2007	6.2	75	40	No consensus yet.
Do You Believe?	2015	5.4	84	17	No consensus yet.
Dumbbells	2014	3.5	59	14	No consensus yet.
EDC 2013: Under the Electric Sky	2014	6.3	65	57	No consensus yet.
Echoes of Innocence	2005	5.1	60	0	No consensus yet.
Eye of the Dolphin	2007	5.6	58	31	No consensus yet.
Fall	1997	6.0	85	0	No consensus yet.
Fat Girls	2006	5.2	49	27	No consensus yet.
Filly Brown	2013	5.5	73	45	No consensus yet.
Flicka	2006	6.1	82	53	The rebellious protagonist will rally girls and children, but adults may find Flicka saddled with thin characters, over-the-top dialogue, and a plot that wanders into the countryside and never comes back.
Foolish	1999	4.2	66	0	No consensus yet.
For Colored Girls	2010	5.9	73	31	Tyler Perry has assembled a fine cast for this adaptation of the 1975 play, and his heart is obviously in the right place, but his fondness for melodrama cheapens a meaningful story.
Fort McCoy	2014	5.4	63	50	No consensus yet.
FrackNation	2013	6.0	72	50	No consensus yet.
Frankie	2005	6.0	67	25	No consensus yet.
Games People Play: New York	2004	5.3	50	34	No consensus yet.
Ghost Team One	2013	4.6	70	36	No consensus yet.
Girl In Progress	2012	5.6	53	30	Despite a well-intentioned and novel premise, Girl in Progress is plagued by jarring tonal shifts and does little to break its characters out of clich .
Glee: The 3D Concert Movie	2011	5.3	64	60	The unconverted will remain just as perplexed as ever, but for gleeful Gleeks, The 3D Concert Movie delivers exactly what it promises.
God's Not Dead	2014	5.0	78	15	No consensus yet.
Tyler Perry's Good Deeds	2012	5.3	76	31	Tyler Perry's craftmanship as a director continues to improve, but his stories are still the same ol' hoary, pretentious melodramas.
Grace Unplugged	2013	6.0	79	50	No consensus yet.
Green Card Fever	2003	5.7	80	40	No consensus yet.
Hair Show	2004	4.8	69	16	No consensus yet.
Hammersmith Is Out	1972	5.9	67	40	No consensus yet.
Hangman's Curse	2003	4.9	75	0	No consensus yet.
Ghosts of the Heartland	2007	6.3	50	20	No consensus yet.
Heaven Is for Real	2014	5.8	67	46	Heaven Is for Real boasts a well-written screenplay and a talented cast, but overextends itself with heavy-handed sequences depicting concepts it could have trusted the audience to take on faith.
