Title	Year	IMDB	RT Aud	RT Critics	Description
Wing Commander	1999	8.8	24	10	The low budget may explain Wing Commander's cheesy special effects, but can't excuse the lame dialogue or the movie's obsessive reliance on sci-fi cliches.
Fighting for Life	2008	8.2	70	89	No consensus yet.
Knock Knock	2015	8.3	88	50	No consensus yet.
The Last Airbender	2010	8.9	31	6	The Last Airbender squanders its popular source material with incomprehensible plotting, horrible acting, and detached joyless direction.
The Singing Revolution	2007	8.5	80	83	No consensus yet.
Max Payne	2008	9.4	30	16	While it boasts some stylish action, Max Payne suffers severely from an illogical plot and overdirection.
Trumbo	2007	7.5	77	81	Trumbo celebrates the life and work of blacklisted screenwriter Dalton Trumbo with measures of humor and sadness.
War of the Worlds	2005	8.5	42	74	Steven Spielberg's adaptation of War of the Worlds delivers on the thrill and paranoia of H.G. Wells' classic novel while impressively updating the action and effects for modern audiences.
Broken Tower	2012	7.3	19	20	No consensus yet.
Black Christmas	2006	8.4	38	14	A gratuitous remake of the 1974 slasher, Black Christmas pumps out the gore and blood with zero creativity, humor, or visual flair.
The Comedian	2013	7.7	90	53	No consensus yet.
The Quest	1996	7.4	37	14	No consensus yet.
Henry's Crime	2011	7.4	25	39	Supporting actors Vera Farmiga and James Caan give the movie a little heft, but Henry's Crime is an otherwise predictable heist/comedy with slow pacing.
Highlander: Endgame	2000	7.6	38	11	The fourth and supposedly last Highlander movie is a confusing mess, complete with bad acting and dialogue.
The Babysitters	2008	7.8	30	33	Though built on an audacious and controversial premise, Babysitters teeters between exploitation and grossness due to uneven execution.
Phantom	2013	7.8	34	25	A cast of solid actors do what they can to elevate the material, but Phantom's script is too clunky and devoid of tension to bear comparison to its thematic predecessors.
Neil Young: Heart of Gold	2006	7.8	79	89	Proving that it's neither better to burn out nor fade away, Neil Young: Heart of Gold works both as a concert film and a meditation on mortality.
Star Wars: Episode III - Revenge of the Sith 3D	2005	8.6	65	79	This sixth and final installment of George Lucas' epic space opera will please die-hard fanatics and non-believers alike -- largely due to awesome digital effects and the sheer power of the mythology.
The Borderlands	2014	8.2	44	78	No consensus yet.
