Title	Year	IMDB	RT Aud	RT Critics	Description
Stop Making Sense	2014	8.4	98	96	No consensus yet.
Virunga	2014	8.3	93	100	No consensus yet.
Whiplash	2014	8.6	95	94	Intense, inspiring, and well-acted, Whiplash is a brilliant sophomore effort from director Damien Chazelle and a riveting vehicle for stars J.K. Simmons and Miles Teller.
The Look of Silence	2015	8.4	92	96	The Look of Silence delivers a less shocking -- yet just as terribly compelling -- companion piece to Joshua Oppenheimer's The Act of Killing.
12 Years a Slave	2013	8.1	90	96	It's far from comfortable viewing, but 12 Years a Slave's unflinchingly brutal look at American slavery is also brilliant -- and quite possibly essential -- cinema.
Boyhood	2014	8.1	81	97	Epic in technical scale but breathlessly intimate in narrative scope, Boyhood is a sprawling investigation of the human condition.
The Battered Bastards Of Baseball	2014	8.2	94	100	No consensus yet.
Inside Out	2015	8.0	90	98	Inventive, gorgeously animated, and powerfully moving, Inside Out is another outstanding addition to the Pixar library of modern animated classics.
Gangs of Wasseypur	2015	8.4	91	94	No consensus yet.
An Adventure in Space and Time	2013	8.3	93	95	Fun, clever, and eminently accessible, An Adventure in Space and Time offers entertaining viewing for Doctor Who newcomers and diehards alike.
The King and the Mockingbird	2014	8.0	92	100	No consensus yet.
Song Of The Sea	2014	8.3	92	98	Song of the Sea boasts narrative depth commensurate with its visual beauty, adding up to an animated saga overflowing with family-friendly riches.
The Act Of Killing	2013	8.2	85	95	Raw, terrifying, and painfully difficult to watch, The Act of Killing offers a haunting testament to the edifying, confrontational power of documentary cinema.
Forbidden Games	2015	7.9	93	100	No consensus yet.
Gravity	2013	7.9	80	96	Alfonso Cuar n's Gravity is an eerie, tense sci-fi thriller that's masterfully directed and visually stunning.
PK	2014	8.5	85	85	No consensus yet.
Short Term 12	2013	8.0	92	98	Short Term 12 is an emphatic, revealing drama that pulls audiences into the perspective of neglected youths.
Winter Sleep	2014	8.4	84	88	Epic in length, thrilling to behold, and utterly absorbing, Winter Sleep demands -- and rewards -- viewers' patient attention.
Before Midnight	2013	8.0	82	98	Building on the first two installments in Richard Linklater's well-crafted Before trilogy, Before Midnight offers intelligent, powerfully acted perspectives on love, marriage, and long-term commitment.
Citizenfour	2014	8.2	88	97	Part real-life thriller, part sobering examination of 21st century civil liberties, Citizenfour transcends ideology to offer riveting, must-see cinema.
Taxi	2015	8.2	100	100	No consensus yet.
The Epic Of Everest	2013	7.9	71	100	No consensus yet.
The Grand Budapest Hotel	2014	8.1	86	92	Typically stylish but deceptively thoughtful, The Grand Budapest Hotel finds Wes Anderson once again using ornate visual environments to explore deeply emotional ideas.
Going Clear: Scientology and the Prison of Belief	2015	8.4	92	92	Thoroughly disquieting but impossible to ignore, Going Clear: Scientology and the Prison of Belief is a searing investigative work from a master documentarian.
Her	2013	8.0	82	94	Sweet, soulful, and smart, Spike Jonze's Her uses its just-barely-sci-fi scenario to impart wryly funny wisdom about the state of modern human relationships.
Life Itself	2014	8.0	89	97	Rich in detail and warmly affectionate, Life Itself offers a joyful yet poignant tribute to a critical cinematic legacy.
Night Will Fall	2014	7.9	93	100	No consensus yet.
Wild Tales	2015	8.2	92	96	Wickedly hilarious and delightfully deranged, Wild Tales is a subversive satire that doubles as a uniformly entertaining anthology film.
Captain Phillips	2013	7.9	89	93	Smart, powerfully acted, and incredibly intense, Captain Phillips offers filmgoers a Hollywood biopic done right -- and offers Tom Hanks a showcase for yet another brilliant performance.
Let The Fire Burn	2013	7.9	91	97	Smartly edited and heartbreakingly compelling, Let the Fire Burn uses archival footage to uncover a troubling -- and still deeply resonant -- chapter in American history.
Blackfish	2013	8.1	90	98	Blackfish is an aggressive, impassioned documentary that will change the way you look at performance killer whales.
About Elly	2015	8.2	87	96	About Elly offers viewers performances as powerful as its thought-provoking ideas, and adds another strong entry to Asghar Farhadi's impressive filmography.
Nostalghia	2013	8.2	91	82	No consensus yet.
56 Up	2013	7.9	75	98	Director Michael Apted continues to utilize cinema as a window into the lives of everyday people, and in the reflection of this documentary we can glimpse our own aging humanity.
Avengers: Age of Ultron	2015	9.4	86	74	Exuberant and eye-popping, Avengers: Age of Ultron serves as an overstuffed but mostly satisfying sequel, reuniting its predecessor's unwieldy cast with a few new additions and a worthy foe.
Guardians of the Galaxy	2014	8.1	92	91	Guardians of the Galaxy is just as irreverent as fans of the frequently zany Marvel comic would expect -- as well as funny, thrilling, full of heart, and packed with visual splendor.
Jodorowsky's Dune	2014	8.1	89	98	Part thoughtful tribute, part bittersweet reminder of a missed opportunity, Jodorowsky's Dune offers a fascinating look at a lost sci-fi legend.
Kurt Cobain: Montage Of Heck	2015	8.3	84	96	Kurt Cobain: Montage of Heck makes a persuasive case for its subject without resorting to hagiography -- and includes plenty of rare and unreleased footage for fans.
The Dark Horse	2014	8.5	83	100	No consensus yet.
Gone Girl	2014	8.2	87	88	Dark, intelligent, and stylish to a fault, Gone Girl plays to director David Fincher's sick strengths while bringing the best out of stars Ben Affleck and Rosamund Pike.
Leviathan	2014	7.8	79	99	Leviathan lives up to its title, offering trenchant, well-crafted social satire on a suitably grand scale.
Toy Story of Terror!	2013	7.6	84	92	No consensus yet.
Ernest & C lestine	2014	7.9	88	97	Sweet and visually charming, Ernest & Celestine offers old-fashioned delights for animation lovers of all ages.
The LEGO Movie	2014	7.8	87	95	Boasting beautiful animation, a charming voice cast, laugh-a-minute gags, and a surprisingly thoughtful story, The Lego Movie is colorful fun for all ages.
Ex Machina	2015	8.0	86	91	Ex Machina leans heavier on ideas than effects, but it's still a visually polished piece of work -- and an uncommonly engaging sci-fi feature.
Filmage: The Story of Descendents/All	2013	8.6	93	100	No consensus yet.
Hard to be a God	2015	7.1	78	96	No consensus yet.
Last Days in Vietnam	2014	7.7	82	94	As gripping as it is inspiring, Last Days in Vietnam offers a surprisingly fresh -- and heart-wrenching -- perspective on the end of the Vietnam War.
Nightcrawler	2014	7.9	86	94	Restless, visually sleek, and powered by a lithe star performance from Jake Gyllenhaal, Nightcrawler offers dark, thought-provoking thrills.
Stories We Tell	2013	7.6	79	94	In Stories We Tell, Sarah Polley plays with the documentary format to explore the nature of memory and storytelling, crafting a thoughtful, compelling narrative that unfolds like a mystery.
The Crash Reel	2013	7.7	95	95	Smart, compassionate, and moving, The Crash Reel uses the familiar sport-doc formula to subvert expectations and ask challenging questions about ambition and achievement.
The Overnighters	2014	7.5	86	98	Hard-hitting, absorbing, and painfully relevant, The Overnighters offers an urgent and compassionate picture of life in 21st century America.
The Imitation Game	2014	8.1	92	89	With an outstanding starring performance from Benedict Cumberbatch illuminating its fact-based story, The Imitation Game serves as an eminently well-made entry in the "prestige biopic" genre.
Blood Brother	2013	8.3	89	70	No consensus yet.
Dallas Buyers Club	2013	8.0	91	93	Dallas Buyers Club rests squarely on Matthew McConaughey's scrawny shoulders, and he carries the burden gracefully with what might be a career-best performance.
How to Train Your Dragon 2	2014	8.0	90	91	Exciting, emotionally resonant, and beautifully animated, How to Train Your Dragon 2 builds on its predecessor's successes just the way a sequel should.
Tangerines	2015	8.6	90	83	Tangerines' impassioned message and the strong work of a solid cast more than make up for the movie's flawed narrative and uneven structure.
Frequencies	2014	7.1	77	100	No consensus yet.
X-Men: Days of Future Past	2014	8.1	92	90	X-Men: Days of Future Past combines the best elements of the series to produce a satisfyingly fast-paced outing that ranks among the franchise's finest installments.
Zero Dark Thirty	2013	7.4	80	93	Gripping, suspenseful, and brilliantly crafted, Zero Dark Thirty dramatizes the hunt for Osama bin Laden with intelligence and an eye for detail.
Best Kept Secret	2013	7.5	92	100	No consensus yet.
Me and Earl and the Dying Girl	2015	8.1	90	81	Beautifully scripted and perfectly cast, Me & Earl & the Dying Girl is a coming-of-age movie with uncommon charm and insight.
Rush	2013	8.2	88	89	A sleek, slick, well-oiled machine, Rush is a finely crafted sports drama with exhilarating race sequences and strong performances from Chris Hemsworth and Daniel Br hl.
The Normal Heart	2014	8.0	87	93	Thanks to Emmy-worthy performances from a reputable cast, The Normal Heart is not only a powerful, heartbreaking drama, but also a vital document of events leading up to and through the early AIDS crisis.
The Wolf of Wall Street	2013	8.2	82	77	Funny, self-referential, and irreverent to a fault, The Wolf of Wall Street finds Martin Scorsese and Leonardo DiCaprio at their most infectiously dynamic.
Dawn Of The Planet Of The Apes	2014	7.7	88	89	With intelligence and emotional resonance to match its stunning special effects, Dawn of the Planet of the Apes expands on its predecessor with an exciting and ambitious burst of sci-fi achievement.
McCullin	2013	8.1	91	100	No consensus yet.
Nebraska	2013	7.8	83	90	Elegant in its simplicity and poetic in its message, Nebraska adds another stirringly resonant chapter to Alexander Payne's remarkable filmography.
Sound City	2013	7.8	90	100	Smart, affectionate, and unabashedly sincere, Sound City pairs a great soundtrack with a well-argued ode to one of rock 'n' roll's most fondly remembered bygone eras.
The Gatekeepers	2013	7.6	79	93	Strikingly stark, brutally honest, and rivetingly assembled, The Gatekeepers offers essential perspective on a seemingly intractable war from some of the men who fought it.
The Internet's Own Boy: The Story of Aaron Swartz	2014	8.2	91	93	Informative and enraging in equal measure, The Internet's Own Boy: The Story of Aaron Swartz uses its subject's tragic tale to deliver an impassioned call to action.
Inside Llewyn Davis	2013	7.5	73	94	Smart, funny, and profoundly melancholy, Inside Llewyn Davis finds the Coen brothers in fine form.
Interstellar	2014	8.7	85	71	Interstellar represents more of the thrilling, thought-provoking, and visually resplendent filmmaking moviegoers have come to expect from writer-director Christopher Nolan, even if its intellectual reach somewhat exceeds its grasp.
The Wind Rises	2014	7.8	85	88	The Wind Rises is a fittingly bittersweet swan song for director Hayao Miyazaki.
Shaun the Sheep	2015	7.6	82	99	Warm, funny, and brilliantly animated, Shaun the Sheep is yet another stop-motion jewel in Aardman's family-friendly crown.
Jerusalem	2013	7.4	91	88	No consensus yet.
Next Goal Wins	2014	7.9	87	100	No consensus yet.
Philomena	2013	7.7	89	92	Based on a powerful true story and led by note-perfect performances from Judi Dench and Steve Coogan, Philomena offers a profoundly affecting drama for adult filmgoers of all ages.
All This Mayhem	2014	8.0	82	100	No consensus yet.
Call Me Kuchu	2013	7.5	88	97	Alternately horrific and uplifting, Call Me Kuchu exposes heinous systematic brutality with a clear eye and admirable precision.
Live Die Repeat: Edge of Tomorrow	2014	8.0	90	90	Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller.
Frozen	2013	7.7	86	88	Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.
Fruitvale Station	2013	7.5	87	93	Passionate and powerfully acted, Fruitvale Station serves as a celebration of life, a condemnation of death, and a triumph for star Michael B. Jordan.
