Title	Year	Percent of critics enjoying	Number of ratings	Description
Wake in Fright	2012	100	2,913	A disquieting classic of Australian cinema, Wake in Fright surveys a landscape both sun-drenched and ruthlessly dark.
Tristana	1970	100	3,052	No consensus yet.
Nas: Time Is Illmatic	2014	100	1,044	Comprehensive yet brisk, Nas: Time Is Illmatic offers an absorbing look at a hip-hop classic and the life of the artist who made it.
Thunder Soul	2011	100	692	No consensus yet.
The Waiting Room	2012	100	1,824	No consensus yet.
The Palm Beach Story	1942	100	3,854	No consensus yet.
The Order of Myths	2008	100	693	More than a documentary about the oldest Mardi Gras celebration in the south, Order of Myths encompasses the eccentric characters of Mobile and the still-lingering racial tensions that surround them.
The Killers	1946	100	3,568	No consensus yet.
The Birth of a Nation	1915	100	4,355	Racial depictions aside, The Birth of a Nation is a landmark film whose achievements and pioneering techniques remain fully relevant today.
Tales Of The Grim Sleeper	2014	100	593	No consensus yet.
Sita Sings the Blues	2008	100	2,808	A tour de force for filmmaker Nina Paley, Sita Sings the Blues gives the Ramayana its animated due with a visually vibrant, dazzlingly imaginative triumph.
Shoah	1985	100	1,271	Expansive in its beauty as well as its mind-numbing horror, Shoah is a towering -- and utterly singular -- achievement in cinema.
Seymour: An Introduction	2015	100	2,218	Seymour Bernstein's genuineness shines so brightly in Seymour: An Introduction that viewers will forgive debuting director Ethan Hawke's reverent treatment.
P p  le Moko	1937	100	2,398	No consensus yet.
Pray the Devil Back to Hell	2008	100	1,186	This political documentary about protests during the Liberian Civil War is an uplifting celebration of the capacity of everyday people to affect great change.
Odd Man Out	1947	100	1,831	No consensus yet.
Nostalgia for the Light	2011	100	3,157	No consensus yet.
No No: A Dockumentary	2014	100	385	While taking full advantage of its subject's colorful baseball career, No No: A Dockumentary also imparts broader, thought-provoking messages that should resonate with viewers who aren't sports fans.
Next Goal Wins	2014	100	614	No consensus yet.
Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.	1999	100	3,925	No consensus yet.
More Than Honey	2013	100	2,173	No consensus yet.
Hukkle	2001	100	1,361	Understated, unconventional and observant.
We Were Here	2011	100	2,386	No consensus yet.
Hell and Back Again	2011	100	3,158	No consensus yet.
God Loves Uganda	2013	100	2,346	No consensus yet.
Everyday Sunshine: The Story of Fishbone	2011	100	1,290	Everyday Sunshine: The Story of Fishbone is an entertaining, heartwarming, and balanced documentary about the influential Los Angeles band.
Enemies of the People	2010	100	528	No consensus yet.
Anita O'Day: The Life of a Jazz Singer	2007	100	507	This rich documentary chronicles the highs and lows of one of the medium's finest singers, utilizing remarkable archive footage and insightful interviews with O'Day herself.
7 Boxes	2014	100	587	No consensus yet.
The War Tapes	2006	98	1,745	Candid, eye-opening footage gives viewers a close-up -- and educational -- look at the experiences of American soldiers in Iraq, a viewpoint not normally seen.
The Overnighters	2014	98	2,405	Hard-hitting, absorbing, and painfully relevant, The Overnighters offers an urgent and compassionate picture of life in 21st century America.
The Devil Came on Horseback	2007	98	4,310	The Devil Came on Horseback is both a strong primer on the complexities of the situation in Darfur and a harrowing first-person doc.
Rivers and Tides: Andy Goldsworthy Working With Time	2002	98	2,509	Andy Goldsworthy and his art are beautifully captured in this engaging documentary.
