Title	Year	IMDB	RT Aud	RT Critics	Description
10,000 B.C.	2008	5.0	37	8	With attention strictly paid to style instead of substance, or historical accuracy, 10,000 B.C. is a visually impressive but narratively flimsy epic.
101 Dalmatians	1996	5.6	40	38	No consensus yet.
2 Fast 2 Furious	2003	5.8	50	35	Beautiful people and beautiful cars in a movie that won't tax the brain cells.
40 Days and 40 Nights	2002	5.6	43	37	As romantic comedies go, 40 Days and 40 Nights is smutty, sexist, and puerile.
Fantastic Four: Rise of the Silver Surfer	2007	5.6	51	37	While an improvement on its predecessor, Fantastic Four: Rise of the Silver Surfer is nevertheless a juvenile, simplistic picture that has little benefit beyond its special effects.
A Cinderella Story	2004	5.8	53	10	An uninspired, generic updating of the classic fairy tale.
A Good Day To Die Hard	2013	5.3	41	14	A Good Day to Die Hard is the weakest entry in a storied franchise, and not even Bruce Willis' smirking demeanor can enliven a cliched, uninspired script.
A Nightmare on Elm Street	2010	5.2	44	14	Visually faithful but lacking the depth and subversive twists that made the original so memorable, the Nightmare on Elm Street remake lives up to its title in the worst possible way.
AVP - Alien Vs. Predator	2004	5.6	39	20	Gore without scares and cardboard cut-out characters make this clash of the monsters a dull sit.
Abduction	2011	5.0	43	3	A soulless and incompetent action/thriller not even a veteran lead actor could save, let alone Taylor Lautner.
After Earth	2013	5.0	37	11	After Earth is a dull, ploddingly paced exercise in sentimental sci-fi -- and the latest setback for director M. Night Shyamalan's once-promising career.
Alexander	2004	5.5	35	16	Even at nearly three hours long, this ponderous, talky, and emotionally distant biopic fails to illuminate Alexander's life.
Along Came Polly	2004	5.9	47	25	Though the supporting actors are funny, Stiller and Aniston don't make a believable couple, and the gross-out humor is gratuitous.
Anaconda	1997	4.6	24	37	No consensus yet.
Analyze That	2002	5.9	39	27	The one joke premise is stretched a bit thin in this messy sequel, but a few laughs can be had here and there.
Annabelle	2014	5.5	37	29	Annabelle borrows unabashedly from better horror films, content to leave viewers with a string of cheap jolts that fail to build on the far more effective The Conjuring.
Around the World in 80 Days	2004	5.8	34	31	Hit-and-miss family fare that bares only the slightest resemblance to Verne's novel.
Babylon A.D.	2008	5.6	26	6	A poorly constructed, derivative sci-fi stinker with a weak script and poor action sequences.
Bad Teacher	2011	5.7	36	44	In spite of a promising concept and a charmingly brazen performance from Cameron Diaz, Bad Teacher is never as funny as it should be.
Batman & Robin	1997	3.6	16	10	Joel Schumacher's tongue-in-cheek attitude hits an unbearable limit in Batman & Robin resulting in a frantic and mindless movie that's too jokey to care much for.
Batman Forever	1995	5.4	33	41	Loud, excessively busy, and often boring, Batman Forever nonetheless has the charisma of Jim Carrey and Tommy Lee Jones to offer mild relief.
Battle: Los Angeles	2011	5.8	48	34	Overlong and overly burdened with war movie clich s, Battle: Los Angeles will entertain only the most ardent action junkies.
Battlefield Earth	2000	2.4	11	2	Ugly, campy, and poorly acted, Battlefield Earth is a stunningly misguided, aggressively bad sci-fi folly.
Be Cool	2005	5.6	42	29	Be Cool is tepid, square, and lukewarm; as a parody of the music business, it has two left feet.
Bedazzled	2000	5.9	43	48	Though it has its funny moments, this remake is essentially a one-joke movie with too many flat spots.
Beverly Hills Cop III	1994	5.5	36	10	No consensus yet.
Bewitched	2005	4.8	28	24	Bewitched is haunted by scattered laughs and a lack of direction.
Bridget Jones - The Edge of Reason	2004	5.9	61	27	Edge of Reason is a predictable continuation to the Bridget Jones story, with too much slapstick and silliness.
Catwoman	2004	3.3	18	8	Halle Berry is the lone bright spot, but even she can't save this laughable action thriller.
Charlie's Angels - Full Throttle	2003	4.8	40	43	Eye candy for those who don't require a movie to have a plot or for it to make sense.
Cheaper by the Dozen	2003	5.8	56	23	In this family of twelve children, much chaos ensues, but little hilarity.
Clash of the Titans	2010	5.8	39	28	An obviously affectionate remake of the 1981 original, Louis Leterrier's Clash of the Titans doesn't offer enough visual thrills to offset the deficiencies of its script.
Cocktail	1988	5.8	58	5	There are no surprises in Cocktail, a shallow, dramatically inert romance that squanders Tom Cruise's talents in what amounts to a naive barkeep's banal fantasy.
Collateral Damage	2002	5.4	27	19	Despite its timely subject matter, Collateral Damage is an unexceptional and formulaic action thriller.
Conan the Barbarian	2011	5.2	30	24	While its relentless, gory violence is more faithful to the Robert E. Howard books, Conan the Barbarian forsakes three-dimensional characters, dialogue, and acting in favor of unnecessary 3D effects.
Conan the Destroyer	1984	5.8	39	26	No consensus yet.
Cop Out	2010	5.7	39	19	Cop Out is a cliched buddy action/comedy that suffers from stale gags and slack pacing.
Couples Retreat	2009	5.5	39	10	Despite a talented cast and some reliably pleasant interplay between Jon Favreau and Vince Vaughn, Couples Retreat leaves viewers stranded in an arid, mirthless comedy.
Dante's Peak	1997	5.8	37	26	No consensus yet.
Daredevil	2003	5.3	35	44	While Ben Affleck fits the role and the story is sporadically interesting, Daredevil is ultimately a dull, brooding origin story that fails to bring anything new to the genre.
Days of Thunder	1990	5.8	61	37	Days of Thunder has Tom Cruise and plenty of flash going for it, but they aren't enough to compensate for the stock plot, two-dimensional characters, and poorly written dialogue.
Deuce Bigalow: Male Gigolo	1999	5.7	42	22	According to critics, Deuce Bigalow is just too dumb and filled with old, tired gags.
Dinner for Schmucks	2010	5.9	43	42	It doesn't honor its source material -- or its immensely likable leads -- as well as it should, but Dinner for Schmucks offers fitfully nourishing comedy.
Disaster Movie	2008	1.9	19	1	Returning to their seemingly bottomless well of flatulence humor, racial stereotypes, and stale pop culture gags, Jason Friedberg and Aaron Seltzer have produced what is arguably their worst Movie yet.
Doom	2005	5.2	34	19	Sure to please fans of the video game, but lacking in plot and originality to please other moviegoers.
Dreamcatcher	2003	5.5	36	29	An incoherent and overly long creature feature.
Drive Angry	2011	5.5	37	45	It may deliver the over-the-top action pieces, but Drive Angry prefers to work safely within grindhouse formula than do something truly unique.
Dude, Where's My Car?	2000	5.5	47	18	The movie isn't funny, the plot is too thin, and the production values feel more like a TV sitcom than a movie.
Dumb and Dumber To	2014	5.9	37	29	Dumb and Dumber To does have its moments, but not enough of them -- and the Farrelly brothers' brand of humor is nowhere near as refreshingly transgressive as it once seemed.
Eat Pray Love	2010	5.6	42	35	The scenery is nice to look at, and Julia Roberts is as luminous as ever, but without the spiritual and emotional weight of the book that inspired it, Eat Pray Love is too shallow to resonate.
Elektra	2005	4.8	30	9	Jennifer Garner inhabits her role with earnest gusto, but Elektra's tone deaf script is too self-serious and bereft of intelligent dialogue to provide engaging thrills.
End of Days	1999	5.7	33	11	An overblown thriller with formulaic action scenes and poor acting.
Epic Movie	2007	2.3	29	1	A crude comedy with nothing new or insightful to say about the subjects it satirizes.
Eragon	2006	5.1	47	16	Written by a teenager (and it shows), Eragon presents nothing new to the "hero's journey" story archetype. In movie terms, this movie looks and sounds like Lord of the Rings and plays out like a bad Star Wars rip-off. The movie spins the tale of a peasant boy who is suddenly entrusted with a dragon and must, with the help of a mentor, train, grow strong, and defeat an evil emperor. The way the critics picture it, the makers of Eragon should soon be expecting an annoyed phone call from George Lucas.
Failure to Launch	2006	5.6	52	24	The few comic gags sprinkled throughout the movie fail to spice up this formulaic rom-com.
Fantastic Four	2005	5.7	46	26	Marred by goofy attempts at wit, subpar acting, and bland storytelling, Fantastic Four is a mediocre attempt to bring Marvel's oldest hero team to the big screen.
Fifty Shades of Grey	2015	4.2	42	24	While creatively better endowed than its print counterpart, Fifty Shades of Grey is a less than satisfying experience on the screen.
First Knight	1995	5.9	55	46	No consensus yet.
Flubber	1997	5.1	33	22	No consensus yet.
Fool's Gold	2008	5.6	48	11	With little chemistry among the performers, humorless gags, and a predictable storyline, Fool's Gold fails on every level.
Freddy vs. Jason	2003	5.8	50	40	Fans of the two horror franchises will enjoy this showdown. But for everyone else, it's the same old slice and dice.
Gamer	2009	5.8	39	28	With all of the hyperkinetic action and none of the flair of Mark Neveldine and Brian Taylor's earlier work, Gamer has little replay value.
Garfield - The Movie	2004	4.9	38	14	When the novelty of the CGI Garfield wears off, what's left is a simplistic kiddie movie.
George of the Jungle	1997	5.4	41	55	George of the Jungle is faithful to its source material -- which, unfortunately, makes it a less-than-compelling feature film.
Ghost Rider	2007	5.2	48	25	Ghost Rider is a sour mix of morose, glum histrionics amidst jokey puns and hammy dialogue.
Ghost Rider: Spirit of Vengeance	2012	4.3	32	17	With a weak script, uneven CG work, and a Nic Cage performance so predictably loony it's no longer amusing, Ghost Rider: Spirit of Vengeance aims to be trashy fun but ends up as plain trash.
Ghost Ship	2002	5.4	38	13	With a plot as creaky as the boat, Ghost Ship fails to deliver the scares.
The Ghosts of Girlfriends Past	2009	5.7	40	26	A retread of A Christmas Carol, featuring Matthew McConaughey in a retread of his Dazed and Confused role, Ghosts of Girlfriends Past lacks originality, humor, and any semblance of charm.
Gothika	2003	5.8	45	14	Berry's acting talents can't save Gothika from its preposterous plot and bad dialogue.
